video_title,show_title,season_title,category,country_name,lifetime_duration,highest_rank
Brightburn,Brightburn,N/A,Films,France,1,3
Brightburn,Brightburn,N/A,Films,Mexico,1,8
Britney Vs Spears,Britney Vs Spears,N/A,Films,France,1,9
Britney Vs Spears,Britney Vs Spears,N/A,Films,United Kingdom,1,3
Britney Vs Spears,Britney Vs Spears,N/A,Films,United States,1,4
Brooklyn Nine-Nine: Season 7,Brooklyn Nine-Nine,Brooklyn Nine-Nine: Season 7,TV,Brazil,1,6
Brotherhood: Season 1,Brotherhood,Brotherhood: Season 1,TV,Brazil,2,6
Brotherhood: Season 2,Brotherhood,Brotherhood: Season 2,TV,Brazil,3,2
Brothers in Brothel,Brothers in Brothel,N/A,Films,Japan,1,7
Bruised,Bruised,N/A,Films,Brazil,2,1
Bruised,Bruised,N/A,Films,France,3,1
Bruised,Bruised,N/A,Films,Mexico,2,1
Bruised,Bruised,N/A,Films,United Kingdom,2,2
Bruised,Bruised,N/A,Films,United States,2,1
Bubble,Bubble,N/A,Films,France,1,9
Bubble,Bubble,N/A,Films,Japan,4,1
Budapest,Budapest,N/A,Films,France,2,3
Bullsh*t The Gameshow: Season 1,Bullsh*t The Gameshow,Bullsh*t The Gameshow: Season 1,TV,United States,2,5
Bumblebee,Bumblebee,N/A,Films,Brazil,1,10
Burnt,Burnt,N/A,Films,United Kingdom,2,4
Business Proposal: Season 1,Business Proposal,Business Proposal: Season 1,TV,Brazil,3,3
Business Proposal: Season 1,Business Proposal,Business Proposal: Season 1,TV,Japan,12,1
Business Proposal: Season 1,Business Proposal,Business Proposal: Season 1,TV,Mexico,7,3
Café con aroma de mujer: Season 1,Café con aroma de mujer,Café con aroma de mujer: Season 1,TV,Brazil,14,1
Café con aroma de mujer: Season 1,Café con aroma de mujer,Café con aroma de mujer: Season 1,TV,Mexico,20,1
Can You Keep a Secret?,Can You Keep a Secret?,N/A,Films,United States,1,5
Captain Nova,Captain Nova,N/A,Films,Brazil,2,7
Car Masters: Rust to Riches: Season 3,Car Masters: Rust to Riches,Car Masters: Rust to Riches: Season 3,TV,United Kingdom,2,6
Carbon,Carbon,N/A,Films,France,1,6
Carinha de Anjo: Season 1,Carinha de Anjo,Carinha de Anjo: Season 1,TV,Brazil,35,1
Carriers,Carriers,N/A,Films,United Kingdom,2,9
Carrossel,Carrossel,N/A,TV,Brazil,27,1
Case 39,Case 39,N/A,Films,United Kingdom,1,7
Catch and Release,Catch and Release,N/A,Films,United States,2,6
Catching Killers: Season 1,Catching Killers,Catching Killers: Season 1,TV,United Kingdom,1,10
Catching Killers: Season 2,Catching Killers,Catching Killers: Season 2,TV,United Kingdom,2,8
