video_title,show_title,season_title,category,Brazil,France,Japan,Mexico,United_Kingdom,United_States
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",Demon Slayer: Kimetsu no Yaiba,"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",TV,0,1,1,0,0,0
Den of Thieves,Den of Thieves,N/A,Films,0,0,0,0,0,1
Despicable Me,Despicable Me,N/A,Films,0,0,0,0,0,1
Despicable Me 2,Despicable Me 2,N/A,Films,0,0,0,0,0,1
"Devotion, a Story of Love and Desire: Season 1","Devotion, a Story of Love and Desire","Devotion, a Story of Love and Desire: Season 1",TV,1,0,0,1,0,0
Diner,Diner,N/A,Films,0,0,1,0,0,0
Disappearance at Clifton Hill,Disappearance at Clifton Hill,N/A,Films,0,0,0,0,0,1
Dive Club: Season 1,Dive Club,Dive Club: Season 1,TV,0,1,0,0,0,0
Django Unchained,Django Unchained,N/A,Films,0,0,0,0,1,0
Doctor John: Season 1,Doctor John,Doctor John: Season 1,TV,0,0,1,0,0,0
Doctor Sleep,Doctor Sleep,N/A,Films,0,0,0,0,1,0
Dolittle,Dolittle,N/A,Films,0,0,1,0,1,0
Don't Kill Me,Don't Kill Me,N/A,Films,1,1,0,1,0,0
Don't Look Up,Don't Look Up,N/A,Films,1,1,1,1,1,1
Dora and the Lost City of Gold,Dora and the Lost City of Gold,N/A,Films,1,0,0,1,1,0
dororo: Season 1,dororo,dororo: Season 1,TV,0,0,1,0,0,0
Double Jeopardy,Double Jeopardy,N/A,Films,0,0,1,0,1,0
Downfall: The Case Against Boeing,Downfall: The Case Against Boeing,N/A,Films,0,0,0,0,1,1
Downsizing,Downsizing,N/A,Films,1,0,1,0,0,0
Downton Abbey: Series 1,Downton Abbey,Downton Abbey: Series 1,TV,0,1,0,0,1,0
Downton Abbey: Series 2,Downton Abbey,Downton Abbey: Series 2,TV,0,1,0,0,1,0
Downton Abbey: Series 3,Downton Abbey,Downton Abbey: Series 3,TV,0,0,0,0,1,0
Downton Abbey: Series 4,Downton Abbey,Downton Abbey: Series 4,TV,0,0,0,0,1,0
Dr. Romantic: Season 1,Dr. Romantic,Dr. Romantic: Season 1,TV,0,0,1,0,0,0
Dr. Seuss' The Cat in the Hat,Dr. Seuss' The Cat in the Hat,N/A,Films,0,0,0,0,0,1
Dr. Seuss' The Grinch,Dr. Seuss' The Grinch,N/A,Films,0,1,0,0,0,0
Dr. White: Season 1,Dr. White,Dr. White: Season 1,TV,0,0,1,0,0,0
Drowning Love,Drowning Love,N/A,Films,0,0,1,0,0,0
Dumb and Dumber,Dumb and Dumber,N/A,Films,0,0,0,0,0,1
Dune,Dune,N/A,Films,0,0,1,0,0,0
Dynasty Warriors,Dynasty Warriors,N/A,Films,0,0,1,0,0,0
Dynasty: Season 4,Dynasty,Dynasty: Season 4,TV,1,1,0,1,1,0
É Fada!,É Fada!,N/A,Films,1,0,0,0,0,0
El Chema: Season 1,El Chema,El Chema: Season 1,TV,0,0,0,1,0,0
El infierno,El infierno,N/A,Films,0,0,0,1,0,0
Elite: Season 1,Elite,Elite: Season 1,TV,0,1,0,0,0,0
Elite: Season 4,Elite,Elite: Season 4,TV,1,1,0,1,0,0
Elite: Season 5,Elite,Elite: Season 5,TV,1,1,0,1,0,0
Elize Matsunaga: Once Upon a Crime: Season 1,Elize Matsunaga: Once Upon a Crime,Elize Matsunaga: Once Upon a Crime: Season 1,TV,1,0,0,0,0,0
Elves: Season 1,Elves,Elves: Season 1,TV,1,1,0,1,0,0
